,factors,cv_score,cv_score_std
646,"['lattice_constant_bcc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-212.2874898985517,264.13228989596655
2648,"['c44_bcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-212.31690613352168,280.9228701492178
2864,"['thermal_expansion_coeff_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-212.32689682104237,271.17000138042476
396,"['lattice_constant_bcc', 'lattice_constant_sc', 'vacancy_migration_energy_fcc']",-212.62782056835215,277.59196474032507
924,"['lattice_constant_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-212.72395356016074,267.0201541984601
513,"['lattice_constant_bcc', 'c11_sc', 'vacancy_migration_energy_fcc']",-212.767567964989,258.3648418289126
2701,"['c44_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-212.92693890853693,261.36072927189645
283,"['c44_fcc', 'vacancy_migration_energy_fcc']",-213.22504744513344,260.5151651432332
594,"['lattice_constant_bcc', 'c44_sc', 'vacancy_migration_energy_fcc']",-213.52577343944748,267.3319485205448
2311,"['c12_bcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-213.62120423631978,282.44476214782753
2693,"['c44_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-213.84363315821085,260.74559071489506
2067,"['c11_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-214.02013544153797,260.41227050053584
1343,"['bulk_modulus_bcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-214.23985346688085,258.7771884008944
922,"['lattice_constant_fcc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-214.24598133777127,267.4036723644029
672,"['lattice_constant_fcc', 'lattice_constant_sc', 'vacancy_migration_energy_fcc']",-214.34127855220885,276.2657406955501
834,"['lattice_constant_fcc', 'c12_sc', 'vacancy_migration_energy_fcc']",-214.36506447287863,270.45887595663936
