,factors,cv_score,cv_score_std
1521,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'c12_fcc']",-304.89305254621445,149.03282337690467
1709,"['c44_bcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",-304.9019161288918,180.22106699034413
165,"['lattice_constant_bcc', 'vacancy_migration_energy_fcc']",-304.9262355077284,152.56316725326207
2572,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'c11_sc']",-305.06812674407814,159.33632407813732
405,"['c11_bcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",-305.11481490533714,171.51351597200724
2541,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'bulk_modulus_sc']",-305.3557727024707,156.7217800235355
2517,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'lattice_constant_sc']",-305.40072437762103,171.35779067358615
2516,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'c11_sc']",-305.592364782665,151.26875468639255
1243,"['lattice_constant_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-305.73203278764555,157.1224636776624
2507,"['vacancy_migration_energy_fcc', 'c44_fcc', 'relaxation_volume_fcc']",-305.9634950997121,140.15387497531094
1862,"['lattice_constant_bcc', 'c12_sc', 'vacancy_migration_energy_fcc']",-305.9843996789003,157.04333348213743
255,"['vacancy_migration_energy_fcc', 'c11_sc']",-306.5030368874855,158.67596579013616
1516,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'c44_fcc']",-306.583992522773,137.82906101391598
1318,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",-307.1921095972237,153.22503271892242
1713,"['c44_bcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",-307.2385907364411,173.97637589827295
2034,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",-307.51611108940284,150.27796726299263
246,"['vacancy_migration_energy_fcc', 'c44_fcc']",-307.60008432811543,133.8738847570615
2512,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'c12_fcc']",-307.6407230132173,169.00513061628212
2638,"['c44_fcc', 'unstable_stack_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-307.851599794455,147.42275682031837
546,"['c11_bcc', 'vacancy_migration_energy_fcc', 'c44_fcc']",-307.9525111171198,137.3258414088285
105,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc']",-308.2708550075798,157.02444473852267
2621,"['c44_fcc', 'unrelaxed_formation_potential_energy_fcc', 'unstable_stack_energy_fcc']",-308.45191125151183,121.89581301008997
994,"['bulk_modulus_bcc', 'lattice_constant_bcc', 'vacancy_migration_energy_fcc']",-308.5809602784293,165.19414548466455
1225,"['lattice_constant_fcc', 'lattice_constant_bcc', 'vacancy_migration_energy_fcc']",-308.67500457259126,162.435343565627
2563,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_fcc', 'c11_fcc']",-308.74941374306854,137.30806984892143
828,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_fcc']",-308.9493307793552,173.29600667285737
1522,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_fcc']",-309.2760927391893,162.10318563973163
2030,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'c44_fcc']",-309.3132617777457,137.4976110105878
975,"['bulk_modulus_bcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-309.3428487181595,151.1760080647824
1527,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'c11_fcc']",-309.48072199187226,147.81398471423677
722,"['surface_energy_100_fcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-309.4878822706457,163.94709947752713
2166,"['c12_bcc', 'vacancy_migration_energy_fcc', 'c44_fcc']",-309.6756335055183,154.72475183594594
2404,"['c12_sc', 'vacancy_migration_energy_fcc', 'bulk_modulus_sc']",-310.0901734499602,151.5395801389674
2540,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'relaxation_volume_fcc']",-310.51902203055005,158.63050156194984
2550,"['vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'bulk_modulus_sc']",-310.6645193974945,163.64398041732508
2527,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'c11_sc']",-310.8871340782725,156.26225773512027
1316,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",-311.0475735473188,158.62036134915527
2167,"['c12_bcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",-311.26116814882647,173.96613777065826
2521,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'cohesive_energy_fcc']",-311.4561093306764,147.82569877961745
2295,"['c44_sc', 'vacancy_migration_energy_fcc', 'c11_sc']",-311.4666270898209,146.5602660381354
1291,"['lattice_constant_fcc', 'c12_sc', 'vacancy_migration_energy_fcc']",-311.59600728852536,154.52168188816873
2039,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",-311.6378723872232,150.16175673529682
2567,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'c11_sc']",-311.81163965645476,149.20607002044238
248,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",-311.8666705086702,164.7022400368937
1314,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-311.9280300508756,151.20765991844053
2506,"['vacancy_migration_energy_fcc', 'c44_fcc', 'c11_fcc']",-312.0652822156935,134.05605895981986
2496,"['vacancy_migration_energy_fcc', 'c44_fcc', 'ideal_surface_energy_100_fcc']",-312.24091806684527,133.02130913141733
547,"['c11_bcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",-312.36573740564756,169.93670746797784
1523,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",-312.4012108222543,159.8220542587855
2288,"['c44_sc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",-312.4101616548094,152.90130971461338
2514,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'extr_stack_fault_energy_fcc']",-312.5783134613759,180.47323845509314
2536,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-312.59472448252467,161.8378379175837
549,"['c11_bcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",-312.6699061037509,151.64843656936497
2395,"['c12_sc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",-312.6794541547828,152.1665505542463
2294,"['c44_sc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-312.92512891520425,181.9889226940709
250,"['vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",-313.22065236185057,154.91798923922968
1435,"['bulk_modulus_fcc', 'lattice_constant_bcc', 'vacancy_migration_energy_fcc']",-313.2404590846719,163.1421185219545
1313,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",-313.4007337971985,156.9079099396984
2393,"['c12_sc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",-313.5165119533415,157.68973335530197
1715,"['c44_bcc', 'vacancy_migration_energy_fcc', 'c11_sc']",-313.63561062235505,161.49747034888227
2580,"['vacancy_migration_energy_fcc', 'c11_sc', 'bulk_modulus_sc']",-313.6376175323161,142.1066887761625
2577,"['vacancy_migration_energy_fcc', 'c11_sc', 'lattice_constant_sc']",-313.79035394095484,154.74369489978042
702,"['surface_energy_100_fcc', 'bulk_modulus_fcc', 'vacancy_migration_energy_fcc']",-313.83572439027586,166.92001074839033
1884,"['lattice_constant_bcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",-313.94875788893853,145.12082126170486
2400,"['c12_sc', 'vacancy_migration_energy_fcc', 'c11_sc']",-314.16781057205054,147.26926979528017
2549,"['vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'relaxation_volume_fcc']",-314.20193575740603,156.4659145883307
2533,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'c12_fcc']",-314.2542597539744,154.69032508483053
2535,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'extr_stack_fault_energy_fcc']",-314.3344061507208,156.937765687033
2513,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'unstable_stack_energy_fcc']",-314.50029185985414,176.7059610673602
2528,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'lattice_constant_sc']",-314.5538974959361,166.38326600237744
827,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'c12_fcc']",-314.7034298912441,164.5800871624385
2582,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'relaxation_volume_fcc']",-314.81317634075947,175.2441753901191
1083,"['bulk_modulus_bcc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-315.1303804699906,174.43290245897103
1710,"['c44_bcc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",-315.4909588837303,172.78461539955538
1660,"['c44_bcc', 'c12_bcc', 'vacancy_migration_energy_fcc']",-315.8098515895494,162.21261163121565
2574,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'c11_fcc']",-315.82917267696905,163.89807703785428
1888,"['lattice_constant_bcc', 'vacancy_migration_energy_fcc', 'c11_fcc']",-315.91216844114894,152.16907034940277
1896,"['lattice_constant_bcc', 'c44_fcc', 'unstable_stack_energy_fcc']",-316.0103224133857,119.19311417153706
2586,"['vacancy_migration_energy_fcc', 'relaxation_volume_fcc', 'bulk_modulus_sc']",-316.16965922469865,161.54277745088635
934,"['bulk_modulus_bcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",-316.2754807123226,145.91906927340852
1078,"['bulk_modulus_bcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",-316.34213786445304,149.14201507212854
2547,"['vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'lattice_constant_sc']",-316.3618472129592,165.35765560561904
2531,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'bulk_modulus_sc']",-316.61178573833354,160.11824821054415
2545,"['vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-316.7603540757712,159.49771889831334
776,"['surface_energy_100_fcc', 'c12_bcc', 'vacancy_migration_energy_fcc']",-316.9012496389208,160.18573505573235
1084,"['bulk_modulus_bcc', 'vacancy_migration_energy_fcc', 'c11_sc']",-317.08725268429913,144.0993518599138
2571,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'bulk_modulus_sc']",-317.3386675241497,152.07688781801227
2040,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",-317.3451948776081,152.95365175698024
1517,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",-317.3881322170582,162.5609427700552
550,"['c11_bcc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",-317.51402684133063,157.1885400473281
2579,"['vacancy_migration_energy_fcc', 'c11_sc', 'relaxation_volume_fcc']",-317.7400999883912,140.18381591459297
2271,"['c44_sc', 'c12_sc', 'vacancy_migration_energy_fcc']",-317.92564830473236,166.44996362633694
2000,"['thermal_expansion_coeff_fcc', 'c44_sc', 'vacancy_migration_energy_fcc']",-318.0285670733227,169.6228362668405
2526,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-318.19771353212104,162.55120809040116
2505,"['vacancy_migration_energy_fcc', 'c44_fcc', 'lattice_constant_sc']",-318.2332002395906,135.69743316392518
2576,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'bulk_modulus_sc']",-318.39977795758125,159.32712659749714
259,"['vacancy_migration_energy_fcc', 'bulk_modulus_sc']",-318.51734149762865,153.86614682984123
1882,"['lattice_constant_bcc', 'vacancy_migration_energy_fcc', 'c12_fcc']",-318.55112164900197,155.28143109693264
2568,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'lattice_constant_sc']",-318.66409469168616,160.79020294721846
2552,"['vacancy_migration_energy_fcc', 'c12_fcc', 'extr_stack_fault_energy_fcc']",-318.79280815534815,163.49812952671
1075,"['bulk_modulus_bcc', 'vacancy_migration_energy_fcc', 'c44_fcc']",-319.1133041011629,138.41071155395466
265,"['c44_fcc', 'unstable_stack_energy_fcc']",-319.150165559097,118.34713119192354
1719,"['c44_bcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_sc']",-319.2819278535678,168.8073442733473
2546,"['vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'c11_sc']",-319.3190080719731,145.25051954033677
2578,"['vacancy_migration_energy_fcc', 'c11_sc', 'c11_fcc']",-319.3193916515759,153.53697752986622
829,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",-319.4516516169111,167.74403031216426
256,"['vacancy_migration_energy_fcc', 'lattice_constant_sc']",-319.6149398939818,169.04104856806873
216,"['c44_sc', 'vacancy_migration_energy_fcc']",-319.7957908890664,164.79644269540967
2043,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_sc']",-319.7995014847582,151.5188229041894
2561,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_fcc', 'c11_sc']",-320.04046531691296,142.31504462699596
2530,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'relaxation_volume_fcc']",-320.05468538911447,148.3130362778121
2637,"['c44_fcc', 'unstable_stack_energy_fcc', 'extr_stack_fault_energy_fcc']",-320.34767640853886,133.10574372665732
2299,"['c44_sc', 'vacancy_migration_energy_fcc', 'bulk_modulus_sc']",-320.4131005002561,152.41061424514996
2639,"['c44_fcc', 'unstable_stack_energy_fcc', 'c11_sc']",-320.64103911769934,112.81742333851857
2518,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'c11_fcc']",-320.94210978865925,164.5403222842332
1529,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_sc']",-321.1236930286329,180.39141380073983
1079,"['bulk_modulus_bcc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",-321.320171035415,149.77982856552794
1206,"['lattice_constant_fcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-321.539864748585,158.63217820022837
2410,"['c12_sc', 'c44_fcc', 'unstable_stack_energy_fcc']",-321.54936921969403,111.7476051671127
1831,"['lattice_constant_bcc', 'c12_bcc', 'vacancy_migration_energy_fcc']",-321.6050679431207,179.89249674289283
2041,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'c11_fcc']",-321.719529166061,166.91902437296682
1077,"['bulk_modulus_bcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",-321.7961000535997,157.10716405780224
2403,"['c12_sc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",-321.9880726946873,164.93653020474167
833,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'c11_fcc']",-322.00864785644245,160.18421008526428
1317,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'c11_fcc']",-322.0272692139363,161.22504425960508
556,"['c11_bcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",-322.04157402607257,164.52376894242684
1714,"['c44_bcc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-322.1342444889927,158.8885023185
11,['vacancy_migration_energy_fcc'],-322.16623459493564,160.97701134414615
1708,"['c44_bcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",-322.2230098871707,156.45396971901164
1094,"['bulk_modulus_bcc', 'c44_fcc', 'unstable_stack_energy_fcc']",-322.41864214133864,122.93570826429797
1029,"['bulk_modulus_bcc', 'c12_bcc', 'vacancy_migration_energy_fcc']",-322.48417978049133,158.90023490230024
2297,"['c44_sc', 'vacancy_migration_energy_fcc', 'c11_fcc']",-322.4921310272411,151.72832741582525
500,"['c11_bcc', 'c12_bcc', 'vacancy_migration_energy_fcc']",-322.6755307404004,150.14997587351323
2641,"['c44_fcc', 'unstable_stack_energy_fcc', 'c11_fcc']",-322.6970772350736,113.34252338295119
2296,"['c44_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",-322.79520265701433,156.18322756908555
2566,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-322.8317071266214,157.5169326345477
1082,"['bulk_modulus_bcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",-322.85437881619015,163.51247557483458
2581,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'c11_fcc']",-322.857875342175,153.94621199820816
2612,"['c44_fcc', 'cohesive_energy_fcc', 'unstable_stack_energy_fcc']",-323.0846547552579,115.66336004746937
2038,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-323.09095229045465,161.60992234846626
1519,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",-323.21904650957055,146.66763334449303
2583,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'bulk_modulus_sc']",-323.26365649519215,156.50123557941524
