,factors,r2_cv_score,rmse_cv_score
2570,"['unstable_stack_energy_fcc', 'c12_fcc', 'surface_energy_100_fcc']",0.8320229081298174,-218.3630715931224
3069,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'c11_fcc']",0.8319504851475199,-211.049252600895
649,"['c44_fcc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",0.8318956058352575,-211.4602124275267
3809,"['c44_bcc', 'ideal_surface_energy_100_fcc', 'unstable_twinning_energy_fcc']",0.8313518265587801,-213.71933300251433
3819,"['c44_bcc', 'unstable_twinning_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.8311048383603439,-218.04344143081227
2611,"['unstable_stack_energy_fcc', 'c44_bcc', 'lattice_constant_bcc']",0.831003728406039,-218.41674336838207
2501,"['unstable_stack_energy_fcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",0.8309018400575997,-218.04628618854701
2690,"['unstable_stack_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'ideal_surface_energy_100_fcc']",0.829926377472071,-214.8794484430474
2654,"['unstable_stack_energy_fcc', 'extr_stack_fault_energy_fcc', 'ideal_surface_energy_100_fcc']",0.82969547513957,-216.0946225530619
498,"['c44_fcc', 'c44_sc', 'vacancy_migration_energy_fcc']",0.8295151516337644,-215.19324751364505
3091,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'surface_energy_100_fcc']",0.8292575605104818,-215.9225956320207
2609,"['unstable_stack_energy_fcc', 'c44_bcc', 'ideal_surface_energy_100_fcc']",0.8291707939550106,-215.33306240850968
2230,"['lattice_constant_fcc', 'unstable_stack_energy_fcc', 'c44_bcc']",0.8290307314270104,-219.5112524523609
4125,"['extr_stack_fault_energy_fcc', 'ideal_surface_energy_100_fcc', 'unstable_twinning_energy_fcc']",0.8286376622000392,-216.65315923321683
2676,"['unstable_stack_energy_fcc', 'surface_energy_100_fcc', 'unstable_stack_energy_slip_fraction_fcc']",0.8285800294905544,-211.00883568767506
3077,"['vacancy_migration_energy_fcc', 'c11_sc', 'surface_energy_100_fcc']",0.8284049646940497,-217.51336341502997
3120,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'ideal_surface_energy_100_fcc']",0.828196268339185,-221.76893700765007
3822,"['c44_bcc', 'unstable_twinning_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.8281648361701067,-216.6585240672152
2741,"['unstable_stack_energy_fcc', 'c11_fcc', 'intr_stack_fault_energy_fcc']",0.8278861922081802,-220.77050361018544
1927,"['bulk_modulus_bcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",0.8278131453233503,-213.11933398652423
3042,"['vacancy_migration_energy_fcc', 'c44_bcc', 'lattice_constant_diamond']",0.8274857149419418,-215.87851590908278
2601,"['unstable_stack_energy_fcc', 'c44_bcc', 'lattice_constant_diamond']",0.8273114355958774,-218.6158213641165
655,"['c44_fcc', 'vacancy_migration_energy_fcc', 'c11_fcc']",0.8269838858677571,-219.45549525609175
4203,"['c11_bcc', 'ideal_surface_energy_100_fcc', 'unstable_twinning_energy_fcc']",0.8268034077045076,-222.29185636337803
3193,"['vacancy_migration_energy_fcc', 'intr_stack_fault_energy_fcc', 'bulk_modulus_fcc']",0.826650608789281,-220.68463763969942
727,"['c44_fcc', 'c44_bcc', 'unstable_twinning_energy_fcc']",0.8261735527501957,-218.29509073424705
4333,"['unstable_stack_energy_slip_fraction_fcc', 'unstable_twinning_energy_fcc', 'c11_fcc']",0.8258982516848712,-219.22711266180016
2642,"['unstable_stack_energy_fcc', 'c11_sc', 'lattice_constant_bcc']",0.825885479479553,-219.48100237876835
2151,"['bulk_modulus_bcc', 'surface_energy_100_fcc', 'unstable_twinning_energy_fcc']",0.8258420070354184,-217.41925805100172
573,"['c44_fcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",0.825818262218788,-218.52696166030017
3117,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'unstable_stack_energy_slip_fraction_fcc']",0.8254944877710608,-215.76783561947246
3019,"['vacancy_migration_energy_fcc', 'c12_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.8248082854175419,-216.7298897615734
2762,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'surface_energy_100_fcc']",0.8248078451458046,-225.00225881367484
641,"['c44_fcc', 'vacancy_migration_energy_fcc', 'c12_fcc']",0.8246471954523054,-215.40496621562983
1970,"['bulk_modulus_bcc', 'unstable_stack_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.8245350460619454,-225.02339618382302
3064,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'c12_bcc']",0.824157769887648,-212.9948732720162
658,"['c44_fcc', 'vacancy_migration_energy_fcc', 'intr_stack_fault_energy_fcc']",0.8239845162068974,-222.06376225244784
609,"['c44_fcc', 'unstable_stack_energy_fcc', 'ideal_surface_energy_100_fcc']",0.8239451681308546,-229.0064253131926
4477,"['unstable_twinning_energy_fcc', 'c11_fcc', 'intr_stack_fault_energy_fcc']",0.8239184074514938,-219.6367023852637
2719,"['unstable_stack_energy_fcc', 'ideal_surface_energy_100_fcc', 'lattice_constant_bcc']",0.8237988099786081,-223.06208039239596
983,"['c12_sc', 'unstable_stack_energy_fcc', 'surface_energy_100_fcc']",0.8233909145047927,-219.01207362387422
4087,"['extr_stack_fault_energy_fcc', 'surface_energy_100_fcc', 'unstable_twinning_energy_fcc']",0.823207208850268,-216.09639822365648
3000,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'unrelaxed_formation_potential_energy_fcc']",0.823039003564408,-220.33418852133246
2674,"['unstable_stack_energy_fcc', 'c11_bcc', 'relaxed_formation_potential_energy_fcc']",0.8227005068858658,-228.1495621919314
547,"['c44_fcc', 'bulk_modulus_bcc', 'unstable_stack_energy_fcc']",0.8226063856242992,-225.1731468022512
646,"['c44_fcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",0.8225714376455183,-223.72496648839754
37,"['c44_fcc', 'vacancy_migration_energy_fcc']",0.822551314287201,-222.79369580832238
2006,"['bulk_modulus_bcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",0.8222636151379535,-226.81607507723223
1377,"['c44_sc', 'vacancy_migration_energy_fcc', 'surface_energy_100_fcc']",0.8219969762394538,-224.62057739497163
2755,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'c12_fcc']",0.8219629554568664,-224.9644704678101
2281,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'thermal_expansion_coeff_fcc']",0.8218422868950138,-213.89413634957452
2767,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'unstable_twinning_energy_fcc']",0.8217614460068248,-227.54931577032139
3059,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'c11_sc']",0.8215644449807094,-210.83785054914313
3103,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'bulk_modulus_fcc']",0.8214695979863792,-223.40814086559828
2738,"['unstable_stack_energy_fcc', 'lattice_constant_bcc', 'bulk_modulus_fcc']",0.8213718405837203,-228.26886951678512
808,"['c44_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'unstable_twinning_energy_fcc']",0.8212920810208126,-226.0774612211662
2657,"['unstable_stack_energy_fcc', 'extr_stack_fault_energy_fcc', 'c11_fcc']",0.8212833101312644,-221.20084838041385
3128,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'bulk_modulus_fcc']",0.8212792438680429,-220.81398439041706
