,factors,r2_cv_score,rmse_cv_score
3864,"['c12_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7339057298975098,-302.62995718131964
2320,"['c11_bcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",0.7338792235822644,-306.32953969870016
3664,"['c11_fcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",0.7337452856853831,-296.56971387353065
4096,"['c44_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",0.7330597772057638,-303.60373769324684
4434,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'bulk_modulus_bcc']",0.7330369882645071,-307.31850981535854
2149,"['ideal_surface_energy_100_fcc', 'relaxation_volume_fcc', 'vacancy_migration_energy_fcc']",0.7329811251114202,-301.28740165347705
4264,"['relaxation_volume_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7329275184290996,-297.88851160611523
2822,"['bulk_modulus_fcc', 'c11_fcc', 'vacancy_migration_energy_fcc']",0.7327594745595307,-302.47575538730376
3850,"['c12_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7326672527926514,-307.30480439840534
2944,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7323727861995127,-310.91098226908866
2699,"['unrelaxed_formation_potential_energy_fcc', 'bulk_modulus_sc', 'vacancy_migration_energy_fcc']",0.7319788678052501,-308.26705228309385
2185,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7319005118753792,-302.1107777963604
831,"['c12_bcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7317463233871712,-309.53259680393234
4408,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'lattice_constant_bcc']",0.7317183688841464,-310.779407616272
4121,"['c44_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7316205889298447,-308.1802233923445
2182,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7312043052415269,-301.59695856662796
4365,"['bulk_modulus_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7311730448717788,-304.5035265985217
2855,"['bulk_modulus_fcc', 'c12_fcc', 'vacancy_migration_energy_fcc']",0.7307839862092692,-303.6128848834981
4073,"['c44_fcc', 'c12_sc', 'vacancy_migration_energy_fcc']",0.730545959298741,-306.2821307775837
1885,"['unstable_twinning_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7304548237238282,-301.66608019642115
4106,"['c44_fcc', 'bulk_modulus_sc', 'vacancy_migration_energy_fcc']",0.7303332185777756,-302.2041007795799
4409,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'lattice_constant_diamond']",0.730210300989579,-307.34221707977815
3925,"['c12_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7300265548573844,-303.6905313974596
3808,"['c44_bcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_bcc']",0.7299265551072719,-307.9180432488692
4360,"['bulk_modulus_sc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",0.7298909045634565,-311.31996300504505
2639,"['unrelaxed_formation_potential_energy_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7297392649983084,-300.6263843791097
4015,"['surface_energy_100_fcc', 'bulk_modulus_sc', 'vacancy_migration_energy_fcc']",0.7297243730258254,-295.9297173464675
1939,"['ideal_surface_energy_100_fcc', 'c11_bcc', 'vacancy_migration_energy_fcc']",0.7296779212504774,-306.05694279502745
1615,"['unstable_twinning_energy_slip_fraction_fcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7296051546800854,-303.4648290034991
2529,"['unrelaxed_formation_potential_energy_fcc', 'unstable_twinning_energy_fcc', 'c44_fcc']",0.7290978820892039,-312.9781553922269
2714,"['unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7288713309464337,-306.2859418459964
4122,"['c44_fcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.728826079940329,-302.963010527129
4118,"['c44_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7286891512899587,-304.56834060536846
2386,"['c11_bcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7285093889262305,-305.8090482041372
2666,"['unrelaxed_formation_potential_energy_fcc', 'c12_sc', 'vacancy_migration_energy_fcc']",0.7275508812675051,-308.89166593987227
3342,"['intr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.727511294345262,-311.84955917480335
1208,"['unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7275069253837372,-305.62748737101475
2712,"['unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7274432060423695,-305.2678062313059
4030,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7273217301375055,-297.7619048125108
1134,"['unstable_stack_energy_slip_fraction_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7265133367014651,-303.75264583812225
4197,"['c12_sc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7263552828612764,-307.96636622750754
