,factors,r2_cv_score,rmse_cv_score
1730,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'c11_fcc']",0.811276517751463,-223.99269696423875
535,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",0.811201011706564,-227.07964457988354
1855,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.8109306916433325,-214.47371500547294
1765,"['vacancy_migration_energy_fcc', 'c44_fcc', 'ideal_surface_energy_100_fcc']",0.8109298857745993,-225.83977696917103
1643,"['vacancy_migration_energy_fcc', 'c11_bcc', 'lattice_constant_bcc']",0.8106104621314651,-224.93167999513375
520,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'c12_sc']",0.8105787324648852,-224.7458416739844
1727,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'relaxation_volume_fcc']",0.8105769378295973,-222.67020311196092
1731,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'unrelaxed_formation_potential_energy_fcc']",0.8104212403194844,-220.91789836373903
1717,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'lattice_constant_sc']",0.8100291187330616,-220.34177162450186
1666,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'lattice_constant_bcc']",0.8096057973957026,-229.69299478896752
1842,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_fcc', 'c11_fcc']",0.8092603485403455,-225.02187802725697
1748,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_slip_fraction_fcc', 'lattice_constant_bcc']",0.8090037012805144,-227.6133487230936
1716,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'c44_fcc']",0.8087583699549461,-218.3142438127586
32,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",0.8085401839479797,-226.30069565360026
1612,"['vacancy_migration_energy_fcc', 'c12_sc', 'surface_energy_100_fcc']",0.8081116995544616,-219.08115571979323
1723,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'intr_stack_fault_energy_fcc']",0.8080261908063862,-222.5006687760215
544,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_sc']",0.8076729392131131,-226.44761537633983
1604,"['vacancy_migration_energy_fcc', 'c12_sc', 'lattice_constant_diamond']",0.8075081291127743,-221.6963615794019
1747,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_slip_fraction_fcc', 'ideal_surface_energy_100_fcc']",0.8074879048488925,-220.31037764067256
1616,"['vacancy_migration_energy_fcc', 'c12_sc', 'relaxed_formation_potential_energy_fcc']",0.8072362195185387,-235.70175562527805
1256,"['c44_sc', 'vacancy_migration_energy_fcc', 'c44_fcc']",0.8071347294278524,-226.07078742821565
1824,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_fcc', 'bulk_modulus_fcc']",0.8060584724733181,-226.19049114669212
1879,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'c11_sc']",0.8053451939540974,-230.75086550201925
1919,"['vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'bulk_modulus_bcc']",0.8051606980945821,-238.03462430011396
1735,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_slip_fraction_fcc', 'c44_fcc']",0.8050916346885589,-223.71959808761662
1628,"['vacancy_migration_energy_fcc', 'c11_bcc', 'lattice_constant_diamond']",0.8049455792329772,-225.51799661118665
1715,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'unstable_twinning_energy_slip_fraction_fcc']",0.8048884224344036,-224.13828939388904
2586,"['extr_stack_fault_energy_fcc', 'c44_fcc', 'unstable_twinning_energy_fcc']",0.8047815952298258,-232.2083795245703
527,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'c44_fcc']",0.8047104460056219,-226.0082879999957
1755,"['vacancy_migration_energy_fcc', 'c44_fcc', 'c44_bcc']",0.8043596882340225,-224.89870957401268
920,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.8038929987062222,-222.89803846348943
131,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.8031164648273097,-234.81138679682383
1762,"['vacancy_migration_energy_fcc', 'c44_fcc', 'bulk_modulus_fcc']",0.8031072153691947,-232.50482073819515
1756,"['vacancy_migration_energy_fcc', 'c44_fcc', 'lattice_constant_fcc']",0.8030113041210416,-226.56980940225105
1863,"['vacancy_migration_energy_fcc', 'intr_stack_fault_energy_fcc', 'ideal_surface_energy_100_fcc']",0.8029240360620196,-215.34716384158338
1764,"['vacancy_migration_energy_fcc', 'c44_fcc', 'relaxation_volume_fcc']",0.8028802001774282,-229.75423989383557
1817,"['vacancy_migration_energy_fcc', 'lattice_constant_fcc', 'bulk_modulus_bcc']",0.8023499586576551,-227.92657945596093
1266,"['c44_sc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.8023395642094203,-228.60195842273086
1771,"['vacancy_migration_energy_fcc', 'c44_fcc', 'c11_sc']",0.8016931699146403,-232.20373830062871
537,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.8013644425237705,-223.71184337301824
1710,"['vacancy_migration_energy_fcc', 'c12_fcc', 'c11_fcc']",0.801274515605331,-234.28322232043965
1662,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'bulk_modulus_fcc']",0.7999043160281175,-230.89472075818267
542,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.7995911795628575,-223.84862248595908
521,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'c11_bcc']",0.7995715762941454,-231.34575511860075
1864,"['vacancy_migration_energy_fcc', 'intr_stack_fault_energy_fcc', 'lattice_constant_bcc']",0.7994705131908038,-234.1012266186598
1763,"['vacancy_migration_energy_fcc', 'c44_fcc', 'relaxed_formation_potential_energy_fcc']",0.7994045807297653,-229.3957370350562
1776,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'surface_energy_100_fcc']",0.7992931912822973,-215.39281942609364
539,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",0.799268585981053,-209.1854037922397
1738,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_slip_fraction_fcc', 'lattice_constant_fcc']",0.7990700960978735,-230.21093411799328
1790,"['vacancy_migration_energy_fcc', 'c44_bcc', 'unstable_twinning_energy_fcc']",0.7989506835016249,-227.90042514905582
1785,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'unrelaxed_formation_potential_energy_fcc']",0.7976796111318241,-230.53007315446402
538,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",0.7970176005831447,-226.69152611229165
1274,"['c44_sc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7969930315000656,-233.24253712794194
1920,"['vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'bulk_modulus_sc']",0.7961624648265568,-232.12710954855328
1808,"['vacancy_migration_energy_fcc', 'lattice_constant_fcc', 'intr_stack_fault_energy_fcc']",0.7961519026872209,-234.56646343349814
1860,"['vacancy_migration_energy_fcc', 'intr_stack_fault_energy_fcc', 'bulk_modulus_fcc']",0.7958418826350233,-238.2974860887942
1921,"['vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'c11_sc']",0.7956963555027192,-234.65841307616384
1847,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'intr_stack_fault_energy_fcc']",0.7955141632492674,-220.73897268979076
1257,"['c44_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",0.7954999620496522,-236.15956776872372
915,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.7950741635756451,-230.29264252188077
898,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'c12_sc']",0.7949729603778387,-241.51648951014235
1871,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'relaxed_formation_potential_energy_fcc']",0.7947144074179685,-234.68435926502715
1670,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'bulk_modulus_sc']",0.7943991842914868,-239.55606746359456
1905,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'c11_fcc']",0.7942943280412025,-234.0327984130893
1645,"['vacancy_migration_energy_fcc', 'c11_bcc', 'unrelaxed_formation_potential_energy_fcc']",0.7941596728781836,-236.41674227589164
1878,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'bulk_modulus_sc']",0.7939452315489633,-237.6850587657575
1900,"['vacancy_migration_energy_fcc', 'relaxation_volume_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.7936929710788055,-230.66999947772783
543,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_bcc']",0.7932484758688285,-229.80160290509485
1798,"['vacancy_migration_energy_fcc', 'c44_bcc', 'ideal_surface_energy_100_fcc']",0.7926914944208636,-223.0227226990537
1621,"['vacancy_migration_energy_fcc', 'c12_sc', 'unrelaxed_formation_potential_energy_fcc']",0.7923679231272084,-229.2839290380156
1893,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.7923320600858594,-231.2314733890147
1655,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'c44_bcc']",0.791981507648809,-230.53709637087545
1759,"['vacancy_migration_energy_fcc', 'c44_fcc', 'surface_energy_100_fcc']",0.790638615965019,-223.26808009961067
1624,"['vacancy_migration_energy_fcc', 'c12_sc', 'c11_sc']",0.789772476251846,-236.64375765659224
1623,"['vacancy_migration_energy_fcc', 'c12_sc', 'bulk_modulus_sc']",0.789648162634579,-236.10553691875077
1793,"['vacancy_migration_energy_fcc', 'c44_bcc', 'intr_stack_fault_energy_fcc']",0.789590535344876,-234.75551730658157
1876,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.7895344427082219,-232.82502946287042
1650,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'c12_fcc']",0.7894980168942758,-243.8897779400819
913,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",0.7883802566900918,-236.31506330735112
