,species,Strength (Mpa),citations,model
5,Pd,977,"\cite{OpenKIM-MO:104806802344:005a},\cite{OpenKIM-MO:104806802344:005b},\cite{OpenKIM-MO:104806802344:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_HaleWongZimmerman\_2008PairHybrid\_PdAgH\_\_MO\_104806802344\_005
7,Pd,987,"\cite{OpenKIM-MO:108983864770:005a},\cite{OpenKIM-MO:108983864770:005b},\cite{OpenKIM-MO:108983864770:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_HaleWongZimmerman\_2008PairMorse\_PdAgH\_\_MO\_108983864770\_005
136,Pd,1067,"\cite{OpenKIM-MO:786012902615:000a},\cite{OpenKIM-MO:786012902615:000b},\cite{OpenKIM-MO:786012902615:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_FoilesBaskesDaw\_1986Universal3\_Pd\_\_MO\_786012902615\_000
135,Pd,1196,"\cite{OpenKIM-MO:169076431435:000a},\cite{OpenKIM-MO:169076431435:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AdamsFoilesWolfer\_1989Universal6\_Pd\_\_MO\_169076431435\_000
124,Pd,1270,"\cite{OpenKIM-MO:532072268679:000a},\cite{OpenKIM-MO:532072268679:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_SamolyukBelandStocks\_2016\_NiPd\_\_MO\_532072268679\_000
138,Pd,1351,"\cite{OpenKIM-MO:993644691224:000a},\cite{OpenKIM-MO:993644691224:000b},\cite{OpenKIM-MO:993644691224:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_Pd\_\_MO\_993644691224\_000
169,Pd,1372,"\cite{OpenKIM-SM:559286646876:000a},\cite{OpenKIM-SM:559286646876:000}",Sim\_LAMMPS\_ADP\_XuWangQian\_2022\_NiPd\_\_SM\_559286646876\_000
51,Pd,7016,"\cite{OpenKIM-MO:137572817842:000a},\cite{OpenKIM-MO:137572817842:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_SchopfBrommerFrigan\_2012\_AlMnPd\_\_MO\_137572817842\_000
141,Pt,1160,"\cite{OpenKIM-MO:757342646688:000a},\cite{OpenKIM-MO:757342646688:000b},\cite{OpenKIM-MO:757342646688:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_FoilesBaskesDaw\_1986Universal3\_Pt\_\_MO\_757342646688\_000
140,Pt,1233,"\cite{OpenKIM-MO:388062184209:000a},\cite{OpenKIM-MO:388062184209:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AdamsFoilesWolfer\_1989Universal6\_Pt\_\_MO\_388062184209\_000
71,Pt,1454,"\cite{OpenKIM-MO:946831081299:000a},\cite{OpenKIM-MO:946831081299:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_OBrienBarrPrice\_2018\_PtAu\_\_MO\_946831081299\_000
142,Pt,1545,"\cite{OpenKIM-MO:601539325066:000a},\cite{OpenKIM-MO:601539325066:000b},\cite{OpenKIM-MO:601539325066:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_Pt\_\_MO\_601539325066\_000
143,Pt,1550,"\cite{OpenKIM-MO:102190350384:005a},\cite{OpenKIM-MO:102190350384:005b},\cite{OpenKIM-MO:102190350384:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouWadleyJohnson\_2001\_Pt\_\_MO\_102190350384\_005
171,Rh,2526,"\cite{OpenKIM-SM:306597220004:000a},\cite{OpenKIM-SM:306597220004:000}",Sim\_LAMMPS\_ADP\_XuWangQian\_2022\_NiRh\_\_SM\_306597220004\_000
162,Rh,3364,"\cite{OpenKIM-SM:066295357485:000a},\cite{OpenKIM-SM:066295357485:000}",Sim\_LAMMPS\_ADP\_WangXuQian\_2021\_AuRh\_\_SM\_066295357485\_000
